set4_id,DataVizRoles_collapsed,YearsDataVizExperience_buckets,ToolsFreq_,ToolsFreq_ArcGIS,ToolsFreq_Canva,ToolsFreq_Canvas,ToolsFreq_D3,ToolsFreq_Datawrapper,ToolsFreq_Excel,ToolsFreq_Figma,ToolsFreq_Flourish,ToolsFreq_ggplot2,ToolsFreq_Gephi,ToolsFreq_GoogleDataStudio,ToolsFreq_GoogleSheets,ToolsFreq_Highcharts,ToolsFreq_Illustrator,ToolsFreq_Leaflet,ToolsFreq_Looker,ToolsFreq_Mapbox,ToolsFreq_Matplotlib,ToolsFreq_Observable,ToolsFreq_P5orProcessing,ToolsFreq_PenPaper,ToolsFreq_PhysicalMaterials,ToolsFreq_Plotly,ToolsFreq_PowerBI,ToolsFreq_PowerPoint,ToolsFreq_Python,ToolsFreq_QGIS,ToolsFreq_Qlik,ToolsFreq_R,ToolsFreq_RAWGraphs,ToolsFreq_React,ToolsFreq_Svelte,ToolsFreq_Tableau,ToolsFreq_Vega,ToolsFreq_Vue,ToolsFreq_WebComponents,ToolsFreq_WebGL,Tools_Other__,ToolsLiking_TopThree__,ToolsFreq_ArcGIS_encoded,ToolsFreq_Canva_encoded,ToolsFreq_Canvas,ToolsFreq_D3,ToolsFreq_Datawrapper,ToolsFreq_Excel,ToolsFreq_Figma,ToolsFreq_Flourish,ToolsFreq_ggplot2,ToolsFreq_Gephi,ToolsFreq_GoogleDataStudio,ToolsFreq_GoogleSheets,ToolsFreq_Highcharts,ToolsFreq_Illustrator,ToolsFreq_Leaflet,ToolsFreq_Looker,ToolsFreq_Mapbox,ToolsFreq_Matplotlib,ToolsFreq_Observable,ToolsFreq_P5orProcessing,ToolsFreq_PenPaper,ToolsFreq_PhysicalMaterials,ToolsFreq_Plotly,ToolsFreq_PowerBI,ToolsFreq_PowerPoint,ToolsFreq_Python,ToolsFreq_QGIS,ToolsFreq_Qlik,ToolsFreq_R,ToolsFreq_RAWGraphs,ToolsFreq_React,ToolsFreq_Svelte,ToolsFreq_Tableau,ToolsFreq_Vega,ToolsFreq_Vue,ToolsFreq_WebComponents,ToolsFreq_WebGL
WjRK,Hobbyist,Less than 1 year,3,Never,Often,Never,Never,Never,Often,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,[^not answered],[^not answered],0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEGJ,Freelance,6-10,8,Sometimes,Never,Never,Never,Never,Sometimes,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Rarely,Never,Never,Never,Often,Never,Never,Never,Sometimes,Never,Never,Never,Never,SAS,"R, ggplot",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
rDiY,Hobbyist,1-5,4,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Rarely,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not answered],Excel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BBfW,Freelance,1-5,24,Sometimes,Never,Never,Never,Rarely,Sometimes,Never,Rarely,Often,Rarely,Rarely,Rarely,Sometimes,Rarely,Often,Never,Sometimes,Rarely,Rarely,Never,Often,Rarely,Often,Rarely,Rarely,Sometimes,Often,Never,Often,Never,Rarely,Never,Sometimes,Never,Never,Never,Never,[^not answered],[^not answered],1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0
yCWf,Employee,6-10,11,Never,Never,Never,Often,Never,Never,Never,Never,Often,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Never,Often,Never,Never,Never,Never,Never,Often,Never,Never,Often,Never,Never,Never,Often,Never,[^not answered],"D3, svelte, ggplot",0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
MSdV,Employee,1-5,15,Never,Never,Never,Sometimes,Often,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Never,Often,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Rarely,Never,Never,Often,Never,Never,Often,Never,Never,Never,Never,Never,[^not answered],svelte;d3.js;flourish,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Sovx,Employee,6-10,15,Rarely,Never,Never,Never,Never,Rarely,Rarely,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Rarely,Never,Rarely,Often,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Never,[^not answered],Power BI; Python Seaborn; Matplotlib,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
HMmV,Employee,6-10,14,Sometimes,Rarely,Never,Never,[^not chosen],Often,[^not chosen],[^not chosen],Rarely,Rarely,Never,Sometimes,Never,Never,Never,Never,Often,Sometimes,Never,Never,Rarely,Never,Sometimes,Never,Often,Often,Never,Never,Rarely,Never,Never,Never,Often,Never,Never,Never,Never,[^not answered],Tableau; Python; Excel,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
TCgE,Academic,6-10,5,Never,Rarely,Never,Never,Never,Often,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,[^not answered],Excel; Tableau,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Uzct,Employee,1-5,4,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Sometimes,Never,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not answered],[^not answered],0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UjEz,EmployeeANDFreelance,6-10,9,Never,Rarely,Never,Never,Never,Often,Never,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Often,Often,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,[^not answered],Power BI,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
IRcq,FreelanceAND,6-10,17,Never,Rarely,Never,Rarely,[^not chosen],Never,Sometimes,Never,Rarely,Never,Sometimes,Sometimes,Never,Rarely,Never,Sometimes,Sometimes,Often,Never,Never,Often,Never,Often,Never,Never,Often,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Never,Dash,Python; Dash; CSS,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0
bQKP,EmployeeANDFreelanceAND,1-5,4,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Rarely,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Rarely,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Google Charts (JS),Tableau; Tableau; Tableau,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
TyIR,Employee,6-10,7,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Often,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,DAX,Power BI,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
RZcl,Academic,Less than 1 year,20,Never,Rarely,Sometimes,Often,Sometimes,Rarely,Often,Often,Never,Never,Never,Often,Never,Sometimes,Never,Rarely,Often,Rarely,Often,Never,Often,Never,Never,Never,Never,Sometimes,Never,Never,Sometimes,Often,Never,Often,Rarely,Never,Never,Never,Rarely,[^not answered],Figma; Flourish; RawGraphs,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1
tmiy,Freelance,1-5,20,Never,Rarely,Never,Sometimes,Sometimes,Sometimes,Never,Never,Often,Never,Never,Rarely,Never,Often,Never,Never,Never,Never,Often,Rarely,Often,Rarely,Often,Often,Often,Sometimes,Rarely,Never,Often,Rarely,Never,Never,Rarely,Never,Never,Sometimes,Never,[^not answered],Pen & paper; ggplot2; Obsevable,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0
oyYf,FreelanceAND,1-5,5,Never,Rarely,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,[^not answered],[^not answered],0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
LIoB,EmployeeAND,1-5,8,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Often,Often,Never,Never,Sometimes,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,[^not answered],Power BI,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
adXP,Academic,Less than 1 year,10,Rarely,Rarely,Rarely,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Sometimes,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,[^not answered],[^not answered],1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
fpfb,Academic,6-10,12,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Sometimes,Never,Never,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Never,"Stata, SAS, Seaborne","Stata, Python",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0
lpTX,Academic,11-15,22,Sometimes,Never,Often,Often,Often,Often,Often,Never,Sometimes,Never,Never,Often,Never,Often,Rarely,Never,Never,Never,Rarely,Never,Often,Sometimes,Never,Never,Never,Sometimes,Often,Never,Sometimes,Sometimes,Sometimes,Often,Never,Never,Sometimes,Often,Often,mapPublisher; LayerCake,Illustrator,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1
LTsg,Freelance,,9,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Rarely,Often,Rarely,Often,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Never,[^not answered],Python,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
LsBs,Freelance,,7,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Rarely,Often,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Sometimes,Never,Never,Never,Never,[^not answered],"Power BI, Tableau",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
jAqr,Student,,14,Never,Never,Never,Rarely,Often,Often,Never,Never,Sometimes,Never,Never,Sometimes,Never,Often,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Never,Often,Sometimes,Never,Rarely,Often,[^not chosen],Sometimes,Never,Rarely,Never,Never,Never,[^not answered],Illustrator; RAWGraphs,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0
eqKz,Skipped question,,17,Rarely,Never,Never,Never,Never,Often,Sometimes,Never,Rarely,Never,Rarely,Rarely,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Sometimes,Rarely,Rarely,Often,Often,Sometimes,Rarely,Never,Never,Rarely,Never,Never,Often,Never,Never,Never,Never,Streamlit,Tableau;Power BI;Streamlit,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0
GJhM,Skipped question,,13,Never,Never,Never,Sometimes,Never,Rarely,Never,Never,Often,Rarely,Never,Rarely,Rarely,Never,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,Never,Never,Often,Never,Never,Never,Never,Rarely,Never,Never,Never,[^not answered],[^not answered],0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Noph,Hobbyist,Less than 1 year,2,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not answered],[^not answered],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PHKu,Freelance,6-10,15,[^not chosen],[^not chosen],[^not chosen],Rarely,[^not chosen],Sometimes,Often,Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Rarely,[^not chosen],[^not chosen],Rarely,Rarely,Sometimes,Rarely,Sometimes,[^not chosen],[^not chosen],[^not chosen],Rarely,Sometimes,[^not chosen],[^not chosen],[^not chosen],Rarely,Rarely,[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not answered],Figma; D3; RawGRAPHS,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0
mPDE,Employee,6-10,9,Never,Rarely,Sometimes,Never,Never,Sometimes,Rarely,Never,Never,Never,Never,Sometimes,Never,Rarely,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Rarely,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not answered],[^not answered],0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
sFQy,Freelance,21-25,5,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not answered],R; PowerBI,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
opuq,Employee,More than 30,17,Sometimes,Sometimes,Never,Sometimes,Often,Often,Sometimes,Never,Sometimes,Never,Never,Never,Never,Sometimes,Never,Never,Never,Sometimes,Never,Never,Never,Never,Sometimes,Rarely,Often,Often,Sometimes,Never,Rarely,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,[^not answered],"Python, Data wrapper, Tableau",1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0
vasI,Academic,More than 30,0,[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RbEg,Academic,6-10,16,Often,Sometimes,Often,Never,Never,Often,Never,Never,Never,Never,Never,Sometimes,Never,Often,Rarely,Never,Rarely,Rarely,Never,Never,Sometimes,Rarely,Never,Never,Often,Sometimes,Sometimes,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Never,Carto; MAPublisher; Maps for Adobe Creative Cloud,ArcGIS; Excel; Illustrator,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0
ucIe,FreelanceAND,6-10,5,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not answered],ggplot2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
rQwx,Academic,1-5,8,Never,Rarely,Never,Never,Rarely,Often,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,[^not answered],PowerPoint;Excel;Canva,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
yULF,EmployeeAND,6-10,7,Never,Never,Never,Never,Never,Often,Sometimes,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Rarely,Often,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,[^not answered],"PowerPoint, Excel",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
rLbn,Employee,1-5,4,Never,Never,Never,Never,Never,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Rarely,Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not answered],"Tableau, QGIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
stId,Employee,6-10,12,Rarely,Sometimes,[^not chosen],Sometimes,[^not chosen],Rarely,Rarely,[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Rarely,[^not chosen],Sometimes,Sometimes,[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not answered],ggplot;,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
KeUf,Employee,6-10,6,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,Sometimes,Often,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,dbt(SQL);metabase,tableau;googlesheets;metabase,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
FDcG,Employee,6-10,21,Never,Rarely,Sometimes,Often,Often,Never,Sometimes,Never,Never,Never,Never,Sometimes,Never,Often,Rarely,Never,Rarely,Never,Sometimes,Rarely,Often,Rarely,Never,Never,Never,Sometimes,Often,Never,Never,Sometimes,Sometimes,Often,Never,Never,Rarely,Sometimes,Sometimes,Maplibre; Deck.gl,Svelte; d3;,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1
bAmS,Employee,1-5,8,[^not chosen],Rarely,Rarely,[^not chosen],[^not chosen],Often,Rarely,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],Rarely,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not answered],Illustrator; Tableau,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
lkBc,Employee,1-5,5,Never,Rarely,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,SPSS,Excel; Power BI,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
LsWs,Employee,1-5,5,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,[^not answered],python; powerbi; matplotlib,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
EUux,EmployeeAND,21-25,7,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Often,Never,Never,Never,Never,[^not answered],Tableau,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
TBDO,Employee,6-10,5,[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not answered],Excel; Tableau; Canva,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
hSel,EmployeeAND,1-5,18,Rarely,Never,Never,Often,Rarely,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Never,Rarely,Never,Rarely,Never,Sometimes,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Never,Never,Never,Never,Sometimes,Never,Rarely,Never,Never,Never,Sometimes,[^not answered],"Python, seaborn",1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1
rdxH,Employee,1-5,14,Never,[^not chosen],[^not chosen],Rarely,[^not chosen],Sometimes,Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,Often,Never,Sometimes,Never,Often,Never,Sometimes,Never,Often,Never,Sometimes,Never,Sometimes,Rarely,Rarely,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Observable Plot; SVG.,Observable Plot; D3.js; Highcharts.,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
